run_name,dataset,subset,init,seed,declared_epochs,batch_size,epochs_available,best_epoch,best_top1,final_top1,summary_path,manual_override
cifar10_10pct_official_default_seed1_150ep_bs512,cifar10,10pct,default,1,150,512,150,147,49.23999997558594,49.170000024414065,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_default_seed1_150ep_bs512/summary.csv,False
cifar10_10pct_official_mimetic_seed1_150ep_bs512,cifar10,10pct,mimetic,1,150,512,150,148,55.59000002441406,55.51000007324219,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
cifar10_10pct_official_impulse_seed1_150ep_bs512,cifar10,10pct,impulse,1,150,512,150,150,57.3,57.3,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_impulse_seed1_150ep_bs512/summary.csv,True
cifar100_10pct_official_default_seed1_150ep_bs512,cifar100,10pct,default,1,150,512,150,147,21.949999996948243,21.88999999694824,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_default_seed1_150ep_bs512/summary.csv,False
cifar100_10pct_official_mimetic_seed1_150ep_bs512,cifar100,10pct,mimetic,1,150,512,150,143,24.390000006103516,24.290000006103515,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
cifar100_10pct_official_impulse_seed1_150ep_bs512,cifar100,10pct,impulse,1,150,512,150,143,25.5,25.5,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_impulse_seed1_150ep_bs512/summary.csv,True
cifar10_25pct_official_default_seed1_150ep_bs512,cifar10,25pct,default,1,150,512,150,143,56.95999992675781,56.68000002441406,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_default_seed1_150ep_bs512/summary.csv,False
cifar10_25pct_official_mimetic_seed1_150ep_bs512,cifar10,25pct,mimetic,1,150,512,150,143,65.13000010986327,65.07999993896485,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
cifar10_25pct_official_impulse_seed1_150ep_bs512,cifar10,25pct,impulse,1,150,512,150,144,66.53999998779297,66.46000002441406,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_impulse_seed1_150ep_bs512/summary.csv,False
cifar100_25pct_official_default_seed1_150ep_bs512,cifar100,25pct,default,1,150,512,150,147,30.88000001525879,30.88000001525879,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_default_seed1_150ep_bs512/summary.csv,False
cifar100_25pct_official_mimetic_seed1_150ep_bs512,cifar100,25pct,mimetic,1,150,512,150,149,38.06000003662109,38.02000003051758,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
cifar100_25pct_official_impulse_seed1_150ep_bs512,cifar100,25pct,impulse,1,150,512,150,141,39.3,39.3,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_impulse_seed1_150ep_bs512/summary.csv,True
